feature,metric,uplift_pp,n_has,n_abs,sig,p_value,cohen_d,baseline_mean,has_mean,quality_flags,scope,scope_value
product_presence,Likeability_Love_Like_T2B,0.4918166440041394,792,702,ns,0.5746747702898158,0.0431781793467097,63.41539131054132,63.907207954545456,multiple_testing_risk,OU,LATAM
product_presence,SCD_score,3.4207436726566787,769,674,*,0.010124985776539832,0.13596771277552414,48.02924332344215,51.44998699609883,multiple_testing_risk,OU,LATAM
animatics_cartoons_presence,Attention_T2B,2.6764043027210804,24,1470,ns,0.2111464871749673,0.23248273724823848,64.54354986394559,67.21995416666667,"small_sample, multiple_testing_risk",OU,LATAM
animatics_cartoons_presence,Persuasion_T2B,1.1107388265306106,24,1470,ns,0.5045782415313989,0.09264617551308946,62.029623673469395,63.1403625,"small_sample, multiple_testing_risk",OU,LATAM
animatics_cartoons_presence,Likeability_Love_Like_T2B,5.863373180272102,24,1470,*,0.027047565503631965,0.4128372887312401,63.58192265306123,69.44529583333333,"small_sample, multiple_testing_risk",OU,LATAM
animatics_cartoons_presence,SCD_score,4.381861045358598,22,1421,ns,0.42420119618553154,0.14245760760636836,49.78541168191414,54.16727272727274,"small_sample, multiple_testing_risk",OU,LATAM
animals_and_pets_presence,Attention_T2B,1.5236708084722328,95,1399,ns,0.07399787018570113,0.15144350037807433,64.4896576125804,66.01332842105265,multiple_testing_risk,OU,LATAM
animals_and_pets_presence,Persuasion_T2B,-0.6931669034272558,95,1399,ns,0.5365294853700312,-0.07660164046348389,62.091543745532526,61.39837684210527,multiple_testing_risk,OU,LATAM
animals_and_pets_presence,Likeability_Love_Like_T2B,2.743746689740789,95,1399,*,0.02292437649765368,0.24702568402855304,63.501644889206574,66.24539157894736,multiple_testing_risk,OU,LATAM
animals_and_pets_presence,SCD_score,2.500043606799701,90,1353,ns,0.39427055940726774,0.09756173494075389,49.69628972653362,52.19633333333332,multiple_testing_risk,OU,LATAM
indoors,Attention_T2B,1.5768652996117627,512,982,***,0.000474286212132305,0.1624455114594431,64.04614602851323,65.623011328125,multiple_testing_risk,OU,LATAM
indoors,Persuasion_T2B,0.8533756022466865,512,982,*,0.03753195828130938,0.09480740004009149,61.75501150712831,62.608387109374995,multiple_testing_risk,OU,LATAM
indoors,Likeability_Love_Like_T2B,2.446893140593176,512,982,***,0.00011580147086990181,0.2153887019726147,62.837552953156816,65.28444609374999,multiple_testing_risk,OU,LATAM
indoors,SCD_score,3.75537668949244,492,951,**,0.006906319923273542,0.1494130335050539,48.571798107255525,52.32717479674797,multiple_testing_risk,OU,LATAM
